id,locality,price_cr,sqft
2745,Bandra East,2.57,1711
2746,Powai,4.02,1728
2747,Worli,4.6,1424
2748,Chembur,3.51,1025
2749,Borivali West,1.67,709
2750,Borivali West,4.06,1722
2751,Powai,6.93,1167
2752,Bandra East,2.53,749
2753,Chembur,7.26,1691
2754,Borivali West,2.6,1739
2755,Worli,3.04,1043
2756,Borivali West,4.55,1534
2757,Worli,3.34,1094
2758,Bandra East,3.8,693
2759,Chembur,8.24,1456
2760,Worli,2.76,881
2761,Chembur,6.97,1009
2762,Borivali West,7.46,1431
2763,Worli,4.39,935
2764,Bandra East,8.05,648
2765,Chembur,1.74,1236
2766,Worli,7.94,1067
2767,Chembur,4.64,1595
2768,Worli,7.18,1394
2769,Worli,5.05,899
2770,Powai,4.94,1618
2771,Andheri West,2.96,1323
2772,Chembur,7.89,1381
2773,Worli,6.27,1235
2774,Powai,3.1,1476
2775,Bandra East,2.62,787
2776,Worli,6.36,665
2777,Bandra East,3.84,892
2778,Powai,1.57,1705
2779,Worli,3.38,1419
2780,Andheri West,4.22,1661
2781,Andheri West,5.99,973
2782,Chembur,5.5,1067
2783,Borivali West,5.05,1102
2784,Borivali West,8.06,984
2785,Powai,4.59,1747
2786,Powai,4.08,1484
2787,Borivali West,6.86,1778
2788,Andheri West,6.58,1401
2789,Powai,2.94,1421
2790,Andheri West,1.4,977
2791,Chembur,1.56,1127
2792,Powai,3.77,1004
2793,Bandra East,3.29,888
2794,Bandra East,2.74,813
2795,Borivali West,6.2,1003
2796,Andheri West,6.51,1204
2797,Worli,1.39,885
2798,Powai,3.85,1203
2799,Bandra East,4.1,1235
2800,Bandra East,1.69,1358
2801,Worli,2.54,1686
2802,Andheri West,6.82,1504
2803,Borivali West,8.21,985
2804,Chembur,8.4,1060
2805,Andheri West,2.04,737
2806,Worli,4.63,694
2807,Worli,2.1,720
2808,Andheri West,7.6,788
2809,Bandra East,3.47,667
2810,Powai,7.06,1188
2811,Chembur,2.52,1607
2812,Borivali West,4.71,927
2813,Borivali West,6.3,1373
2814,Worli,7.28,1534
2815,Andheri West,7.99,970
2816,Chembur,2.82,1224
2817,Powai,5.05,1090
2818,Powai,3.83,758
2819,Worli,3.85,701
2820,Andheri West,2.81,928
2821,Andheri West,8.44,782
2822,Borivali West,4.54,1373
2823,Powai,2.26,712
2824,Worli,7.18,918
2825,Bandra East,2.02,740
2826,Worli,5.88,641
2827,Bandra East,8.24,1426
2828,Bandra East,4.69,1598
2829,Bandra East,1.43,1578
2830,Powai,4.23,1165
2831,Borivali West,1.42,1467
2832,Chembur,2.31,1173
2833,Bandra East,4.61,1729
2834,Borivali West,4.8,778
2835,Chembur,4.24,1605
2836,Andheri West,8.31,1783
2837,Chembur,7.61,1183
2838,Chembur,3.57,1198
2839,Powai,6.17,900
2840,Powai,3.02,1293
2841,Borivali West,3.91,1233
2842,Chembur,6.27,923
2843,Chembur,2.44,1789
2844,Borivali West,2.69,807
2845,Borivali West,2.71,761
2846,Powai,3.71,1070
2847,Bandra East,1.35,1321
2848,Andheri West,1.21,991
2849,Borivali West,5.7,1076
2850,Andheri West,1.2,1775
2851,Bandra East,6.49,667
2852,Bandra East,3.27,1615
2853,Chembur,5.07,1765
2854,Andheri West,5.07,1750
2855,Powai,1.42,1554
2856,Powai,7.41,1135
2857,Bandra East,6.72,653
2858,Bandra East,5.46,1266
2859,Borivali West,6.51,980
2860,Borivali West,8.25,1199
2861,Andheri West,3.1,665
2862,Bandra East,6.65,601
2863,Powai,5.39,1583
2864,Borivali West,2.14,772
2865,Bandra East,8.37,626
2866,Bandra East,2.65,967
2867,Borivali West,2.05,861
2868,Worli,4.26,663
2869,Worli,5.86,1063
2870,Powai,2.08,1520
2871,Powai,2.16,1787
2872,Bandra East,7.98,810
2873,Andheri West,8.25,1012
2874,Borivali West,6.0,1080
2875,Powai,6.18,1446
2876,Andheri West,7.98,1548
2877,Worli,6.58,1444
2878,Worli,2.72,1148
2879,Powai,2.2,766
2880,Andheri West,2.44,1243
2881,Borivali West,7.68,1142
2882,Worli,7.82,746
2883,Andheri West,4.01,734
2884,Borivali West,2.7,832
2885,Bandra East,1.25,642
2886,Andheri West,5.47,920
2887,Worli,4.78,635
2888,Borivali West,1.71,1052
2889,Chembur,6.66,631
2890,Borivali West,8.31,711
2891,Borivali West,8.15,1605
2892,Andheri West,1.73,1102
2893,Worli,7.28,953
2894,Borivali West,6.0,838
2895,Powai,6.12,1406
2896,Andheri West,3.94,795
2897,Borivali West,3.13,972
2898,Worli,2.75,1523
2899,Bandra East,4.6,1581
2900,Powai,4.17,1779
2901,Powai,6.63,1527
2902,Powai,3.29,1772
2903,Worli,1.63,1715
2904,Andheri West,8.23,1185
2905,Andheri West,7.69,1037
2906,Bandra East,3.12,1655
2907,Bandra East,3.51,1561
2908,Powai,6.73,1664
2909,Bandra East,3.6,1589
2910,Worli,6.2,1158
2911,Borivali West,3.3,1318
2912,Borivali West,6.22,810
2913,Powai,2.42,837
2914,Worli,2.64,694
2915,Chembur,3.48,1000
2916,Worli,2.98,908
2917,Powai,1.92,1077
2918,Chembur,1.88,754
2919,Andheri West,3.38,1433
2920,Worli,7.15,1383
2921,Worli,6.61,969
2922,Powai,8.04,1363
2923,Andheri West,1.7,1098
2924,Powai,7.03,1196
2925,Andheri West,1.78,1131
2926,Powai,7.52,1438
2927,Worli,6.73,844
2928,Andheri West,7.47,1188
2929,Worli,5.63,1147
2930,Powai,3.88,1006
2931,Chembur,1.99,1618
2932,Andheri West,2.79,1463
2933,Worli,2.91,1660
2934,Andheri West,2.94,682
2935,Worli,1.35,1065
2936,Worli,6.82,878
2937,Powai,8.18,1309
2938,Bandra East,6.31,1189
2939,Bandra East,5.43,1463
2940,Chembur,5.05,1165
2941,Chembur,3.12,822
2942,Chembur,1.3,968
2943,Borivali West,4.39,1393
2944,Borivali West,3.32,815
2945,Worli,6.47,1683
2946,Chembur,6.4,1295
2947,Bandra East,2.07,1044
2948,Andheri West,7.02,1631
2949,Powai,2.37,981
2950,Andheri West,5.73,768
2951,Borivali West,8.24,1731
2952,Worli,3.91,816
2953,Andheri West,3.02,921
2954,Andheri West,4.07,986
2955,Borivali West,7.71,1395
2956,Andheri West,2.91,985
2957,Chembur,8.3,1702
2958,Powai,7.69,776
2959,Chembur,3.22,1531
2960,Chembur,5.85,1508
2961,Borivali West,6.39,1627
2962,Bandra East,1.87,1516
2963,Borivali West,7.91,1130
2964,Borivali West,6.9,830
2965,Chembur,5.95,624
2966,Bandra East,2.99,1036
2967,Andheri West,4.32,605
2968,Andheri West,1.36,1400
2969,Powai,6.42,701
2970,Chembur,5.47,1241
2971,Bandra East,5.49,1610
2972,Borivali West,3.48,1186
2973,Chembur,8.44,984
2974,Powai,4.21,1419
2975,Powai,3.56,873
2976,Chembur,6.86,842
2977,Andheri West,1.8,943
2978,Andheri West,5.39,1390
2979,Worli,1.78,879
2980,Powai,2.07,1018
2981,Chembur,1.34,1490
2982,Bandra East,4.33,1000
2983,Andheri West,8.39,1535
2984,Andheri West,1.89,645
2985,Worli,2.62,1510
2986,Powai,6.85,1561
2987,Andheri West,2.82,1798
2988,Worli,2.07,1415
2989,Chembur,6.2,723
2990,Chembur,8.41,808
2991,Borivali West,2.0,982
2992,Bandra East,6.63,756
2993,Powai,2.19,1480
2994,Borivali West,4.82,724
2995,Bandra East,1.92,1584
2996,Andheri West,1.56,708
2997,Powai,5.65,1727
2998,Powai,2.01,632
2999,Powai,3.29,1318
3000,Powai,7.14,1689
3001,Bandra East,5.25,691
3002,Chembur,8.36,655
3003,Powai,4.67,1180
3004,Bandra East,5.88,1534
3005,Borivali West,3.77,1478
3006,Chembur,3.67,1485
3007,Andheri West,4.59,735
3008,Worli,2.88,1642
3009,Andheri West,1.5,789
3010,Borivali West,8.02,1277
3011,Bandra East,6.03,1205
3012,Worli,2.23,649
3013,Worli,3.43,1749
3014,Andheri West,8.06,906
3015,Andheri West,5.93,1255
3016,Chembur,6.82,1346
3017,Andheri West,3.81,1092
3018,Bandra East,5.2,1198
3019,Chembur,4.24,1481
3020,Worli,8.46,802
3021,Andheri West,3.63,763
3022,Andheri West,6.01,895
3023,Worli,8.48,703
3024,Powai,4.59,955
3025,Andheri West,6.38,934
3026,Borivali West,7.26,864
3027,Andheri West,7.14,937
3028,Worli,2.73,1059
3029,Andheri West,3.38,1512
3030,Borivali West,2.99,958
3031,Borivali West,8.26,1496
3032,Bandra East,1.89,1031
3033,Chembur,6.2,1547
3034,Worli,2.92,1410
3035,Chembur,3.26,912
3036,Chembur,6.0,885
3037,Worli,1.46,1672
3038,Chembur,7.8,1045
3039,Borivali West,7.74,1040
3040,Worli,4.29,1050
3041,Borivali West,3.25,671
3042,Bandra East,8.09,987
3043,Powai,6.98,1041
3044,Worli,7.68,1280
3045,Borivali West,6.03,897
3046,Borivali West,1.25,1748
3047,Andheri West,2.13,657
3048,Chembur,3.74,1419
3049,Worli,3.98,1140
3050,Powai,3.9,1579
3051,Borivali West,2.82,1581
3052,Worli,3.93,1297
3053,Chembur,8.03,1539
3054,Bandra East,2.29,1275
3055,Chembur,3.45,784
3056,Bandra East,1.47,1421
3057,Andheri West,3.44,1582
3058,Chembur,2.7,1749
3059,Bandra East,4.55,1347
3060,Chembur,4.26,851
3061,Borivali West,1.57,634
3062,Andheri West,2.38,1033
3063,Worli,3.65,797
3064,Borivali West,3.45,978
3065,Andheri West,3.69,1229
3066,Worli,1.41,1182
3067,Bandra East,8.33,1771
3068,Powai,5.88,1413
3069,Bandra East,5.56,1753
3070,Borivali West,2.83,730
3071,Chembur,4.64,1775
3072,Worli,7.55,1753
3073,Andheri West,5.74,843
3074,Worli,1.97,719
3075,Bandra East,5.97,1193
3076,Bandra East,1.89,1664
3077,Chembur,5.69,1192
3078,Powai,1.3,992
3079,Chembur,5.52,1590
3080,Worli,4.6,1738
3081,Worli,4.52,1774
3082,Worli,8.08,1498
3083,Powai,7.73,925
3084,Andheri West,7.61,1301
3085,Powai,4.6,1241
3086,Borivali West,2.67,608
3087,Borivali West,7.89,932
3088,Borivali West,5.88,1203
3089,Powai,3.48,1417
3090,Andheri West,1.91,1072
3091,Bandra East,4.71,1457
3092,Andheri West,6.54,1064
3093,Bandra East,6.32,1292
3094,Bandra East,3.1,1746
3095,Powai,1.78,1561
3096,Powai,3.6,803
3097,Bandra East,7.76,1569
3098,Powai,3.91,603
3099,Powai,2.51,1059
3100,Andheri West,8.09,1549
3101,Andheri West,4.3,1596
3102,Powai,5.17,1235
3103,Worli,1.55,1394
3104,Powai,5.15,1507
3105,Borivali West,3.82,983
3106,Borivali West,3.85,671
3107,Bandra East,7.89,1707
3108,Chembur,4.04,1451
3109,Andheri West,2.03,1330
3110,Worli,7.11,942
3111,Andheri West,1.86,1428
3112,Worli,4.22,800
3113,Powai,6.35,1224
3114,Bandra East,7.62,1647
3115,Chembur,6.54,1277
3116,Bandra East,3.42,763
3117,Borivali West,3.78,1683
3118,Andheri West,1.29,863
3119,Powai,5.13,1477
3120,Worli,3.69,963
3121,Chembur,1.73,1659
3122,Worli,8.12,1592
3123,Borivali West,8.13,789
3124,Powai,7.67,739
3125,Chembur,5.65,1507
3126,Chembur,7.99,1663
3127,Bandra East,2.05,1342
3128,Andheri West,7.15,779
3129,Andheri West,4.89,1081
3130,Worli,3.29,1652
3131,Bandra East,4.45,1782
3132,Andheri West,8.14,661
3133,Chembur,4.23,1199
3134,Chembur,5.64,706
3135,Powai,7.47,1530
3136,Worli,1.77,1493
3137,Andheri West,2.31,1027
3138,Worli,2.22,1229
3139,Borivali West,6.99,1774
3140,Worli,8.27,1293
3141,Andheri West,4.85,668
3142,Borivali West,7.6,1011
3143,Borivali West,4.7,1706
3144,Powai,5.68,1512
3145,Borivali West,1.93,1602
3146,Bandra East,7.73,1781
3147,Bandra East,3.03,1720
3148,Powai,6.41,923
3149,Borivali West,4.63,1776
3150,Andheri West,1.39,1641
3151,Andheri West,6.43,930
3152,Andheri West,6.09,1691
3153,Andheri West,7.23,1567
3154,Bandra East,5.0,1502
3155,Chembur,8.07,1684
3156,Bandra East,4.24,1440
3157,Borivali West,7.45,1196
3158,Borivali West,3.23,780
3159,Borivali West,6.9,637
3160,Worli,7.53,1422
3161,Bandra East,1.49,792
3162,Bandra East,7.05,764
3163,Bandra East,4.51,1460
3164,Chembur,5.59,622
3165,Chembur,4.1,1584
3166,Bandra East,7.91,766
3167,Powai,3.31,789
3168,Chembur,1.85,1461
3169,Powai,3.67,1625
3170,Powai,3.12,1450
3171,Bandra East,1.98,1435
3172,Bandra East,1.76,1438
3173,Powai,6.95,958
3174,Borivali West,3.86,1423
3175,Worli,7.8,695
3176,Worli,5.91,669
3177,Powai,3.53,1266
3178,Bandra East,2.57,1414
3179,Andheri West,5.49,1584
3180,Andheri West,2.66,853
3181,Borivali West,8.24,712
3182,Borivali West,2.59,1366
3183,Chembur,3.07,1773
3184,Andheri West,6.46,1253
3185,Bandra East,6.83,884
3186,Worli,1.47,1040
3187,Chembur,6.87,1255
3188,Chembur,3.93,1009
3189,Borivali West,6.73,926
3190,Worli,2.38,1644
3191,Bandra East,2.73,1589
3192,Worli,4.92,971
3193,Worli,5.68,965
3194,Chembur,1.82,1281
3195,Chembur,4.47,1131
3196,Chembur,6.08,1162
3197,Worli,2.12,930
3198,Borivali West,3.67,1725
3199,Chembur,6.15,909
3200,Bandra East,6.72,692
3201,Worli,3.78,826
3202,Powai,4.09,1341
3203,Chembur,6.82,937
3204,Chembur,7.88,966
3205,Worli,4.47,735
3206,Bandra East,6.89,1272
3207,Chembur,4.22,694
3208,Chembur,4.55,822
3209,Borivali West,1.85,902
3210,Andheri West,6.78,1135
3211,Andheri West,8.4,726
3212,Andheri West,3.2,1557
3213,Powai,2.96,680
3214,Andheri West,4.09,1541
3215,Worli,6.29,812
3216,Powai,6.5,615
3217,Andheri West,5.6,700
3218,Andheri West,2.73,1181
3219,Andheri West,3.78,1308
3220,Bandra East,3.44,1559
3221,Powai,1.55,1420
3222,Chembur,2.72,1428
3223,Bandra East,2.85,1307
3224,Borivali West,6.16,1126
3225,Andheri West,5.13,1737
3226,Worli,6.03,1683
3227,Bandra East,4.86,1415
3228,Bandra East,2.45,739
3229,Chembur,8.22,818
3230,Powai,3.89,1196
3231,Andheri West,6.36,1771
3232,Chembur,2.77,1042
3233,Powai,5.45,838
3234,Worli,7.64,1578
3235,Borivali West,7.66,1106
3236,Worli,5.53,1125
3237,Borivali West,5.62,1316
3238,Bandra East,8.18,1577
3239,Andheri West,4.37,1119
3240,Bandra East,1.72,1309
3241,Chembur,2.27,1095
3242,Powai,2.61,637
3243,Chembur,5.98,794
3244,Powai,1.2,1105
3245,Chembur,2.19,809
3246,Worli,7.3,1707
3247,Worli,2.18,1562
3248,Andheri West,2.3,723
3249,Worli,4.91,1489
3250,Chembur,8.29,1103
3251,Borivali West,8.48,1777
3252,Bandra East,7.25,1381
3253,Borivali West,6.52,1108
3254,Bandra East,3.11,1203
3255,Chembur,2.63,1276
3256,Powai,2.05,963
3257,Chembur,6.06,824
3258,Andheri West,1.32,1526
3259,Andheri West,3.37,1755
3260,Borivali West,6.31,1527
3261,Andheri West,7.91,615
3262,Bandra East,7.2,1434
3263,Borivali West,6.37,1500
3264,Bandra East,6.83,1625
3265,Worli,2.92,1427
3266,Andheri West,1.98,1655
3267,Borivali West,7.39,1438
3268,Chembur,1.62,1142
3269,Chembur,4.85,794
3270,Bandra East,6.7,1385
3271,Bandra East,1.4,1127
3272,Bandra East,1.79,845
3273,Borivali West,1.55,715
3274,Bandra East,5.53,1029
3275,Borivali West,5.81,1643
3276,Powai,1.23,1180
3277,Chembur,7.5,1108
3278,Powai,2.54,1240
3279,Bandra East,2.2,908
3280,Powai,4.1,1025
3281,Andheri West,1.35,784
3282,Powai,7.69,1515
3283,Borivali West,3.7,1479
3284,Powai,4.61,614
3285,Worli,5.45,1531
3286,Worli,6.23,1034
3287,Chembur,6.41,756
3288,Borivali West,6.42,1314
3289,Andheri West,4.77,1622
3290,Borivali West,1.84,846
3291,Bandra East,3.4,1252
3292,Chembur,5.02,1694
3293,Chembur,6.63,704
3294,Bandra East,7.94,1218
3295,Borivali West,1.61,1371
3296,Chembur,5.1,1581
3297,Worli,2.07,1597
3298,Worli,2.46,1033
3299,Borivali West,3.88,1335
3300,Chembur,4.46,1366
3301,Worli,5.07,1479
3302,Worli,7.43,851
3303,Powai,3.73,1178
3304,Powai,3.39,1098
3305,Andheri West,2.21,1130
3306,Borivali West,2.97,1175
3307,Andheri West,7.97,1576
3308,Borivali West,6.52,783
3309,Bandra East,5.73,799
3310,Borivali West,5.34,1745
3311,Powai,2.01,1306
3312,Chembur,6.0,712
3313,Borivali West,4.48,1275
3314,Worli,5.87,1770
3315,Worli,1.5,1547
3316,Borivali West,3.31,1432
3317,Chembur,8.26,1162
3318,Andheri West,2.97,1743
3319,Borivali West,4.93,1155
3320,Worli,6.18,1606
3321,Powai,5.84,892
3322,Powai,3.84,1505
3323,Bandra East,7.05,867
3324,Andheri West,4.8,730
3325,Bandra East,1.28,601
3326,Chembur,3.08,1407
3327,Worli,7.2,1191
3328,Powai,1.31,969
3329,Bandra East,3.98,1137
3330,Worli,6.8,846
3331,Worli,8.07,1172
3332,Chembur,5.7,1607
3333,Powai,7.15,971
3334,Andheri West,7.64,1443
3335,Bandra East,5.66,1018
3336,Worli,4.82,1337
3337,Chembur,1.34,1496
3338,Borivali West,5.14,659
3339,Powai,6.88,1733
3340,Worli,8.31,1323
3341,Worli,6.37,1795
3342,Bandra East,4.25,1235
3343,Worli,8.38,826
3344,Bandra East,7.18,1059
3345,Bandra East,5.38,1666
3346,Worli,3.4,954
3347,Worli,7.68,1115
3348,Bandra East,4.64,1157
3349,Bandra East,5.34,671
3350,Chembur,5.83,1093
3351,Chembur,1.21,1049
3352,Powai,4.13,739
3353,Worli,2.64,785
3354,Worli,3.11,1017
3355,Andheri West,2.94,1587
3356,Worli,7.21,1425
3357,Bandra East,5.86,1262
3358,Bandra East,5.19,1722
3359,Borivali West,3.85,709
3360,Bandra East,3.38,1523
3361,Borivali West,4.53,1650
3362,Worli,3.61,1476
3363,Bandra East,3.54,1011
3364,Borivali West,2.25,660
3365,Powai,5.19,820
3366,Worli,2.41,1324
3367,Worli,3.81,1191
3368,Worli,1.29,1380
3369,Worli,6.78,1447
3370,Chembur,1.76,1586
3371,Worli,3.7,920
3372,Powai,8.49,1768
3373,Worli,1.25,1115
3374,Powai,7.81,870
3375,Powai,8.19,1044
3376,Andheri West,5.06,1188
3377,Andheri West,3.17,1345
3378,Powai,5.2,1627
3379,Chembur,2.84,1043
3380,Bandra East,5.16,1554
3381,Worli,4.61,1800
3382,Worli,2.67,641
3383,Worli,4.23,1631
3384,Bandra East,2.34,1309
3385,Powai,3.43,1043
3386,Powai,6.3,1044
3387,Bandra East,5.92,702
3388,Powai,6.18,984
3389,Andheri West,6.64,1303
3390,Andheri West,5.38,1477
3391,Chembur,2.3,1358
3392,Chembur,4.12,1069
3393,Bandra East,2.67,757
3394,Worli,6.65,789
3395,Andheri West,2.49,1220
3396,Borivali West,3.68,1566
3397,Chembur,3.29,1096
3398,Worli,3.88,1593
3399,Chembur,7.1,1420
3400,Andheri West,7.89,746
3401,Worli,2.62,996
3402,Powai,5.08,1410
3403,Borivali West,6.2,1745
3404,Andheri West,1.33,677
3405,Andheri West,6.19,718
3406,Bandra East,7.37,1241
3407,Worli,2.06,1339
3408,Borivali West,2.03,1011
3409,Andheri West,4.43,1745
3410,Chembur,3.45,802
3411,Worli,7.33,1045
3412,Borivali West,6.75,1492
3413,Powai,2.72,1252
3414,Bandra East,6.79,905
3415,Andheri West,1.83,1359
3416,Bandra East,6.79,1385
3417,Worli,8.25,938
3418,Borivali West,7.7,1266
3419,Powai,7.65,1639
3420,Worli,4.84,691
3421,Andheri West,3.83,1761
3422,Chembur,7.41,1302
3423,Chembur,6.51,1730
3424,Borivali West,6.75,1493
3425,Bandra East,7.6,1765
3426,Chembur,3.95,1193
3427,Bandra East,6.72,654
3428,Powai,2.54,625
3429,Worli,2.38,1292
3430,Worli,7.87,825
3431,Chembur,3.5,1735
3432,Chembur,6.07,778
3433,Powai,7.58,925
3434,Powai,7.56,1228
3435,Andheri West,7.41,903
3436,Borivali West,6.18,1541
3437,Worli,3.18,1646
3438,Bandra East,4.63,1160
3439,Borivali West,2.03,1460
3440,Chembur,3.33,1500
3441,Borivali West,8.41,1468
3442,Borivali West,4.73,1526
3443,Chembur,7.69,916
3444,Chembur,3.72,1359
3445,Worli,5.82,1304
3446,Chembur,3.9,1291
3447,Bandra East,5.88,1405
3448,Worli,8.04,1148
3449,Bandra East,7.99,863
3450,Chembur,7.98,1738
3451,Powai,3.99,793
3452,Chembur,4.21,1514
3453,Chembur,3.65,1159
3454,Borivali West,2.38,1688
3455,Chembur,5.95,1076
3456,Borivali West,6.76,949
3457,Powai,2.24,1557
3458,Worli,2.32,1609
3459,Borivali West,8.47,1208
3460,Andheri West,1.26,1067
3461,Chembur,8.48,1064
3462,Borivali West,7.94,649
3463,Chembur,4.35,1029
3464,Bandra East,7.87,1545
3465,Chembur,8.04,1685
3466,Powai,6.44,1546
3467,Andheri West,2.87,1108
3468,Chembur,4.22,1217
3469,Worli,5.3,753
3470,Worli,8.11,1588
3471,Chembur,5.58,1038
3472,Bandra East,1.36,675
3473,Borivali West,7.24,803
3474,Andheri West,4.52,1583
3475,Borivali West,8.23,1689
3476,Worli,2.82,1471
3477,Borivali West,1.21,1241
3478,Andheri West,5.9,846
3479,Worli,6.88,712
3480,Borivali West,7.52,1479
3481,Chembur,5.66,658
3482,Borivali West,2.88,857
3483,Borivali West,4.96,1783
3484,Chembur,7.3,903
3485,Chembur,6.03,941
3486,Borivali West,6.08,1115
3487,Andheri West,8.14,1737
3488,Bandra East,1.86,920
3489,Worli,3.6,810
3490,Andheri West,6.0,1752
3491,Bandra East,6.05,1216
3492,Chembur,5.43,674
3493,Andheri West,1.45,1754
3494,Andheri West,7.14,901
3495,Andheri West,2.23,804
3496,Powai,3.71,1782
3497,Bandra East,5.76,1746
3498,Andheri West,1.21,881
3499,Borivali West,2.87,1491
3500,Bandra East,2.28,624
3501,Worli,4.5,981
3502,Chembur,4.22,1731
3503,Bandra East,8.38,893
3504,Andheri West,3.15,1762
3505,Borivali West,3.64,1613
3506,Bandra East,2.78,1183
3507,Bandra East,4.81,1554
3508,Bandra East,5.04,895
3509,Powai,1.53,1218
3510,Chembur,8.17,1223
3511,Bandra East,1.46,991
3512,Borivali West,7.02,1704
3513,Bandra East,6.81,1561
3514,Andheri West,6.38,1571
3515,Bandra East,6.18,1661
3516,Borivali West,2.59,1442
3517,Andheri West,5.23,1602
3518,Chembur,5.44,1678
3519,Borivali West,2.55,1675
3520,Worli,7.1,1344
3521,Powai,5.29,1334
3522,Chembur,1.54,1634
3523,Powai,6.01,661
3524,Bandra East,6.99,1167
3525,Chembur,8.04,665
3526,Andheri West,7.79,1008
3527,Borivali West,8.42,1625
3528,Andheri West,4.84,1231
3529,Worli,6.58,1545
3530,Chembur,8.1,1301
3531,Worli,4.96,1177
3532,Chembur,3.69,993
3533,Chembur,5.79,1773
3534,Bandra East,6.45,1658
3535,Powai,1.42,1003
3536,Worli,6.78,692
3537,Chembur,7.07,1310
3538,Chembur,1.75,790
3539,Chembur,3.96,1227
3540,Andheri West,4.33,1577
3541,Worli,4.4,633
3542,Worli,4.59,1556
3543,Bandra East,5.58,1723
3544,Borivali West,6.94,1761
3545,Chembur,3.58,942
3546,Andheri West,6.46,843
3547,Powai,5.72,1417
3548,Worli,1.87,662
3549,Powai,5.88,1138
3550,Worli,7.22,1139
3551,Powai,1.67,933
3552,Powai,2.91,1048
3553,Chembur,4.63,1465
3554,Borivali West,4.68,1242
3555,Powai,4.13,1336
3556,Powai,8.0,1213
3557,Chembur,4.95,765
3558,Worli,7.91,1387
3559,Bandra East,6.49,1218
3560,Powai,6.75,1107
3561,Andheri West,7.47,1389
3562,Bandra East,3.15,743
3563,Chembur,5.51,1540
3564,Worli,6.81,1098
3565,Powai,4.63,1731
3566,Borivali West,5.28,1264
3567,Andheri West,4.41,1238
3568,Bandra East,7.31,1135
3569,Worli,2.65,1727
3570,Andheri West,7.43,1733
3571,Chembur,7.31,897
3572,Andheri West,2.95,875
3573,Bandra East,4.6,786
3574,Powai,6.38,1133
3575,Powai,7.02,1425
3576,Chembur,2.36,1453
3577,Powai,6.46,1264
3578,Bandra East,3.78,1782
3579,Bandra East,6.33,1054
3580,Worli,4.36,1551
3581,Worli,4.22,943
3582,Andheri West,2.9,1581
3583,Bandra East,2.0,1434
3584,Worli,1.41,1275
3585,Chembur,7.17,1646
3586,Chembur,2.33,1658
3587,Andheri West,7.89,1109
3588,Worli,8.42,1232
3589,Powai,5.38,1615
3590,Borivali West,3.53,1794
3591,Chembur,8.08,1630
3592,Chembur,4.47,661
3593,Bandra East,3.83,1234
3594,Worli,2.89,1566
3595,Borivali West,3.33,664
3596,Powai,7.74,784
3597,Chembur,3.02,766
3598,Powai,3.13,1498
3599,Andheri West,7.75,798
3600,Andheri West,2.65,657
3601,Borivali West,4.13,1168
3602,Borivali West,5.6,841
3603,Powai,2.91,1459
3604,Worli,6.82,621
3605,Andheri West,1.46,1104
3606,Borivali West,4.01,1420
3607,Powai,2.96,1256
3608,Chembur,2.52,945
3609,Chembur,1.43,697
3610,Andheri West,4.64,1101
3611,Bandra East,1.27,1686
3612,Worli,3.43,1639
3613,Worli,3.94,653
3614,Andheri West,5.73,1363
3615,Andheri West,2.49,759
3616,Powai,3.74,1593
3617,Chembur,5.34,844
3618,Worli,4.66,1579
3619,Worli,1.33,1063
3620,Borivali West,4.67,1066
3621,Chembur,4.38,1294
3622,Powai,7.43,1035
3623,Bandra East,2.02,1740
3624,Borivali West,7.68,1039
3625,Powai,7.85,1572
3626,Andheri West,6.74,778
3627,Powai,7.86,1422
3628,Borivali West,3.1,891
3629,Chembur,2.22,735
3630,Bandra East,1.35,1770
3631,Powai,2.77,1776
3632,Andheri West,4.66,1710
3633,Worli,3.26,1724
3634,Borivali West,4.17,1065
3635,Andheri West,2.16,914
3636,Powai,7.0,813
3637,Andheri West,5.73,1659
3638,Borivali West,6.16,1776
3639,Andheri West,7.75,1409
3640,Andheri West,5.5,1226
3641,Borivali West,2.35,1361
3642,Andheri West,3.02,1233
3643,Worli,5.21,1450
3644,Chembur,7.61,1371
3645,Bandra East,1.94,1250
3646,Bandra East,3.94,1758
3647,Powai,4.9,1311
3648,Bandra East,5.67,1462
3649,Andheri West,4.19,1603
3650,Worli,5.82,825
3651,Borivali West,4.62,1771
3652,Andheri West,2.74,1477
3653,Andheri West,3.34,811
3654,Bandra East,4.76,829
3655,Powai,6.93,1779
3656,Worli,5.58,1414
3657,Powai,2.87,1323
3658,Andheri West,1.96,1756
3659,Andheri West,5.84,963
3660,Bandra East,5.68,831
3661,Worli,2.78,1210
3662,Powai,1.95,1622
3663,Powai,5.17,1029
3664,Chembur,8.24,1234
3665,Andheri West,4.56,1397
3666,Powai,4.91,730
3667,Powai,1.21,1603
3668,Worli,4.33,1103
3669,Chembur,3.45,1682
3670,Powai,7.14,1520
3671,Chembur,6.07,1722
3672,Bandra East,4.98,1617
3673,Andheri West,6.78,638
3674,Borivali West,2.84,1401
3675,Chembur,6.53,944
3676,Chembur,6.34,933
3677,Borivali West,5.02,1191
3678,Bandra East,5.56,1333
3679,Chembur,3.51,1186
3680,Bandra East,7.47,1404
3681,Worli,5.94,742
3682,Worli,2.79,1028
3683,Bandra East,6.87,1514
3684,Worli,2.18,1482
3685,Powai,3.48,1367
3686,Borivali West,4.33,1422
3687,Chembur,6.26,1449
